start_station_id,start_lat,start_lon,startcount
3066,39.94561,-75.17348,1205
3037,39.95424,-75.16138,932
3025,39.93724,-75.1612,833
3026,39.94138,-75.14564,1138
3005,39.94733,-75.14403,416
3011,39.96046,-75.19701,461
3075,39.96718,-75.16125,633
3028,39.94061,-75.14958,1766
3045,39.94792,-75.16237,2239
3008,39.98082,-75.14973,356
3004,39.95378,-75.16374,1750
3074,39.95511,-75.20987,664
3073,39.96143,-75.15242,618
3012,39.94217,-75.1775,1667
3010,39.94711,-75.16618,2628
3054,39.9625,-75.1742,1003
3051,39.96744,-75.17507,1288
3056,39.97669,-75.15813,839
3077,39.97207,-75.16351,301
3050,39.95339,-75.15426,933
3034,39.93315,-75.16248,1237
3072,39.93445,-75.14541,583
3031,39.98005,-75.15522,891
3016,39.96892,-75.1547,40
3069,39.93704,-75.15038,1184
3006,39.9522,-75.20311,932
3021,39.9539,-75.16902,2078
3064,39.9384,-75.17327,1026
3015,39.94759,-75.1487,643
3019,39.95403,-75.14983,469
3062,39.95197,-75.17943,817
3086,39.94019,-75.16691,774
3059,39.96265,-75.16174,805
3027,39.95708,-75.20177,650
3030,39.93935,-75.15716,1349
3035,39.96271,-75.19419,489
3070,39.96062,-75.13983,529
3038,39.94781,-75.19409,1208
3088,39.96984,-75.1418,274
3041,39.96849,-75.13546,422
3020,39.94887,-75.18986,1794
3053,39.93231,-75.18154,506
3040,39.96289,-75.16606,1067
3078,39.95355,-75.17192,910
3029,39.9538,-75.19479,1654
3057,39.96442,-75.17999,1752
3065,39.9707,-75.15171,271
3047,39.95071,-75.14921,1239
3007,39.94517,-75.15993,1854
#N/A,#N/A,#N/A,10
3060,39.95923,-75.17036,952
3043,39.93082,-75.17474,324
3013,39.96317,-75.14792,446
3061,39.95425,-75.17761,1236
3068,39.93549,-75.16711,974
3063,39.94633,-75.1698,1412
3018,39.95273,-75.15979,1593
3033,39.95005,-75.15672,1044
3039,39.97121,-75.1597,652
3046,39.95012,-75.14472,1012
3036,39.96844,-75.14001,365
3067,39.96411,-75.19973,112
3023,39.95048,-75.17286,2578
3009,39.95576,-75.18982,1173
3017,39.98003,-75.14371,106
3024,39.94822,-75.20908,600
3058,39.96716,-75.17001,918
3052,39.94732,-75.15695,1856
3014,39.95886,-75.17369,661
3055,39.95112,-75.15457,814
3032,39.94527,-75.17971,2217
3022,39.95472,-75.18323,1895
3071,39.96173,-75.18788,779
3049,39.94509,-75.1425,323
