station_id	total_num_rides	std_rides	station_lat	station_lon	start_num_rides	end_num_rides	st_per_in	ed_per_in	st_per_out	ed_per_out	ttl_per
3129	5799	-0.69	39.94681	-75.19311	3164	2635	54.60%	45.40%	0.48%	0.41%	0.44%
3125	13871	0.15	39.94391	-75.16735	7055	6816	50.90%	49.10%	1.08%	1.05%	1.06%
3124	7899	-0.47	39.95295	-75.13979	3776	4123	47.80%	52.20%	0.58%	0.63%	0.61%
3123	1910	-1.09	39.98004	-75.17088	1032	878	54.00%	46.00%	0.16%	0.14%	0.15%
3122	1324	-1.15	39.98062	-75.1735	673	651	50.80%	49.20%	0.10%	0.10%	0.10%
3121	7399	-0.52	39.97274	-75.17939	4154	3245	56.10%	43.90%	0.63%	0.50%	0.57%
3120	5791	-0.69	39.97522	-75.18669	3064	2727	52.90%	47.10%	0.47%	0.42%	0.44%
3119	1721	-1.11	39.96674	-75.20799	955	766	55.50%	44.50%	0.15%	0.12%	0.13%
3118	3588	-0.91	39.95866	-75.21323	1774	1814	49.40%	50.60%	0.27%	0.28%	0.27%
3117	757	-1.21	39.97841	-75.22399	399	358	52.70%	47.30%	0.06%	0.06%	0.06%
3115	4588	-0.81	39.97263	-75.16757	2606	1982	56.80%	43.20%	0.40%	0.30%	0.35%
3114	6618	-0.6	39.93775	-75.18012	3373	3245	51.00%	49.00%	0.51%	0.50%	0.51%
3113	1599	-1.12	39.97469	-75.19562	913	686	57.10%	42.90%	0.14%	0.11%	0.12%
3112	5790	-0.69	39.95373	-75.21825	3212	2578	55.50%	44.50%	0.49%	0.40%	0.44%
3111	1623	-1.12	39.97804	-75.2122	898	725	55.30%	44.70%	0.14%	0.11%	0.12%
3110	5443	-0.72	39.96175	-75.13641	2655	2788	48.80%	51.20%	0.41%	0.43%	0.42%
3109	1824	-1.1	39.97486	-75.20524	933	891	51.20%	48.80%	0.14%	0.14%	0.14%
3108	18338	0.61	39.95316	-75.16551	9096	9242	49.60%	50.40%	1.39%	1.42%	1.40%
3107	1619	-1.12	39.98203	-75.18866	842	777	52.00%	48.00%	0.13%	0.12%	0.12%
3106	2278	-1.05	39.99179	-75.18637	1145	1133	50.30%	49.70%	0.17%	0.17%	0.17%
3105	2306	-1.05	39.96652	-75.12996	1092	1214	47.40%	52.60%	0.17%	0.19%	0.18%
3104	1333	-1.15	39.96664	-75.19209	798	535	59.90%	40.10%	0.12%	0.08%	0.10%
3103	1366	-1.14	39.97714	-75.1794	709	657	51.90%	48.10%	0.11%	0.10%	0.10%
3102	14351	0.2	39.96818	-75.18034	6911	7440	48.20%	51.80%	1.06%	1.14%	1.10%
3101	18984	0.68	39.94295	-75.15955	9502	9482	50.10%	49.90%	1.45%	1.46%	1.45%
3100	9979	-0.25	39.92777	-75.15103	4568	5411	45.80%	54.20%	0.70%	0.83%	0.76%
3099	5329	-0.73	39.93401	-75.15094	2543	2786	47.70%	52.30%	0.39%	0.43%	0.41%
3098	6802	-0.58	39.93431	-75.16042	3170	3632	46.60%	53.40%	0.48%	0.56%	0.52%
3097	4260	-0.84	39.97888	-75.13339	1928	2332	45.30%	54.70%	0.29%	0.36%	0.33%
3096	2587	-1.02	39.99119	-75.17975	1363	1224	52.70%	47.30%	0.21%	0.19%	0.20%
3095	3445	-0.93	39.98771	-75.18052	1765	1680	51.20%	48.80%	0.27%	0.26%	0.26%
3093	2278	-1.05	39.98837	-75.18701	1205	1073	52.90%	47.10%	0.18%	0.17%	0.17%
3088	4918	-0.78	39.96984	-75.1418	2299	2619	46.70%	53.30%	0.35%	0.40%	0.38%
3086	10056	-0.25	39.94019	-75.16691	5119	4937	50.90%	49.10%	0.78%	0.76%	0.77%
3078	5285	-0.74	39.95355	-75.17192	2599	2686	49.20%	50.80%	0.40%	0.41%	0.40%
3077	4432	-0.83	39.97207	-75.16351	2591	1841	58.50%	41.50%	0.40%	0.28%	0.34%
