cartodb_id,end_num_rides,start_num_rides,total_num_rides,ttl_per,ed_per_out,st_per_out,ed_per_in,st_per_in,station_id,station_lon,station_lat,std_rides,the_geom
1,2635,3164,5799,0.44%,0.41%,0.48%,45.40%,54.60%,3129,-75.19311,39.94681,-0.69,0101000020E6100000F5A10BEA5BCC52C04CC3F01131F94340
2,6816,7055,13871,1.06%,1.05%,1.08%,49.10%,50.90%,3125,-75.16735,39.94391,0.15,0101000020E6100000143FC6DCB5CA52C0062FFA0AD2F84340
3,4123,3776,7899,0.61%,0.63%,0.58%,52.20%,47.80%,3124,-75.13979,39.95295,-0.47,0101000020E6100000B493C151F2C852C0925CFE43FAF94340
4,878,1032,1910,0.15%,0.14%,0.16%,46.00%,54.00%,3123,-75.17088,39.98004,-1.09,0101000020E610000097E2AAB2EFCA52C0CC6262F371FD4340
5,651,673,1324,0.10%,0.10%,0.10%,49.20%,50.80%,3122,-75.1735,39.98062,-1.15,0101000020E6100000C976BE9F1ACB52C0DAE6C6F484FD4340
6,3245,4154,7399,0.57%,0.50%,0.63%,43.90%,56.10%,3121,-75.17939,39.97274,-0.52,0101000020E6100000AFCE31207BCB52C06AC18BBE82FC4340
7,2727,3064,5791,0.44%,0.42%,0.47%,47.10%,52.90%,3120,-75.18669,39.97522,-0.69,0101000020E6100000601F9DBAF2CB52C0DB334B02D4FC4340
8,766,955,1721,0.13%,0.12%,0.15%,44.50%,55.50%,3119,-75.20799,39.96674,-1.11,0101000020E610000048F949B54FCD52C016DEE522BEFB4340
9,1814,1774,3588,0.27%,0.28%,0.27%,50.60%,49.40%,3118,-75.21323,39.95866,-0.91,0101000020E6100000AB21718FA5CD52C0DFFDF15EB5FA4340
10,358,399,757,0.06%,0.06%,0.06%,47.30%,52.70%,3117,-75.22399,39.97841,-1.21,0101000020E6100000632827DA55CE52C0280AF4893CFD4340
11,1982,2606,4588,0.35%,0.30%,0.40%,43.20%,56.80%,3115,-75.16757,39.97263,-0.81,0101000020E61000009B728577B9CA52C0E38DCC237FFC4340
12,3245,3373,6618,0.51%,0.50%,0.51%,49.00%,51.00%,3114,-75.18012,39.93775,-0.6,0101000020E6100000C156091687CB52C079E9263108F84340
13,686,913,1599,0.12%,0.11%,0.14%,42.90%,57.10%,3113,-75.19562,39.97469,-1.12,0101000020E6100000639CBF0985CC52C07FDE54A4C2FC4340
14,2578,3212,5790,0.44%,0.40%,0.49%,44.50%,55.50%,3112,-75.21825,39.95373,-0.69,0101000020E61000008716D9CEF7CD52C0679B1BD313FA4340
15,725,898,1623,0.12%,0.11%,0.14%,44.70%,55.30%,3111,-75.2122,39.97804,-1.12,0101000020E6100000840D4FAF94CD52C005172B6A30FD4340
16,2788,2655,5443,0.42%,0.43%,0.41%,51.20%,48.80%,3110,-75.13641,39.96175,-0.72,0101000020E61000003B3602F1BAC852C0C976BE9F1AFB4340
17,891,933,1824,0.14%,0.14%,0.14%,48.80%,51.20%,3109,-75.20524,39.97486,-1.1,0101000020E610000030F5F3A622CD52C0DB166536C8FC4340
18,9242,9096,18338,1.40%,1.42%,1.39%,50.40%,49.60%,3108,-75.16551,39.95316,0.61,0101000020E61000004D4A41B797CA52C07CED992501FA4340
19,777,842,1619,0.12%,0.12%,0.13%,48.00%,52.00%,3107,-75.18866,39.98203,-1.12,0101000020E61000000E84640113CC52C06FD8B628B3FD4340
20,1133,1145,2278,0.17%,0.17%,0.17%,49.70%,50.30%,3106,-75.18637,39.99179,-1.05,0101000020E610000027BD6F7CEDCB52C0FB3F87F9F2FE4340
21,1214,1092,2306,0.18%,0.19%,0.17%,52.60%,47.40%,3105,-75.12996,39.96652,-1.05,0101000020E61000007172BF4351C852C0087767EDB6FB4340
22,535,798,1333,0.10%,0.08%,0.12%,40.10%,59.90%,3104,-75.19209,39.96664,-1.15,0101000020E6100000DFF8DA334BCC52C0B28009DCBAFB4340
23,657,709,1366,0.10%,0.10%,0.11%,48.10%,51.90%,3103,-75.1794,39.97714,-1.14,0101000020E6100000C139234A7BCB52C085CE6BEC12FD4340
24,7440,6911,14351,1.10%,1.14%,1.06%,51.80%,48.20%,3102,-75.18034,39.96818,0.2,0101000020E6100000488AC8B08ACB52C015527E52EDFB4340
25,9482,9502,18984,1.45%,1.46%,1.45%,49.90%,50.10%,3101,-75.15955,39.94295,0.68,0101000020E6100000EA04341136CA52C0B1E1E995B2F84340
26,5411,4568,9979,0.76%,0.83%,0.70%,54.20%,45.80%,3100,-75.15103,39.92777,-0.25,0101000020E6100000C1ADBB79AAC952C0DF1AD82AC1F64340
27,2786,2543,5329,0.41%,0.43%,0.39%,52.30%,47.70%,3099,-75.15094,39.93401,-0.73,0101000020E610000021EA3E00A9C952C08811C2A38DF74340
28,3632,3170,6802,0.52%,0.56%,0.48%,53.40%,46.60%,3098,-75.16042,39.93431,-0.58,0101000020E6100000F5673F5244CA52C0B329577897F74340
29,2332,1928,4260,0.33%,0.36%,0.29%,54.70%,45.30%,3097,-75.13339,39.97888,-0.84,0101000020E610000043E7357689C852C0AF5A99F04BFD4340
