start_lat,start_lon,end_lat,end_lon,count
39.96175,-75.13641,39.94527,-75.17971,11
39.93431,-75.16042,39.95005,-75.15672,43
39.95511,-75.20987,39.95923,-75.17036,9
39.97263,-75.16757,39.98771,-75.18052,2
39.95424,-75.16138,39.94822,-75.20908,19
39.94792,-75.16237,39.95425,-75.17761,166
39.95295,-75.13979,39.95886,-75.17369,52
39.94887,-75.18986,39.93775,-75.18012,204
39.95295,-75.13979,39.96716,-75.17001,11
39.94822,-75.20908,39.98005,-75.15522,45
39.94138,-75.14564,39.96289,-75.16606,13
39.95378,-75.16374,39.97804,-75.2122,14
39.9625,-75.1742,39.97669,-75.15813,76
39.95866,-75.21323,39.97469,-75.19562,2
39.97841,-75.22399,39.97121,-75.1597,1
39.94061,-75.14958,39.96143,-75.15242,26
39.94735,-75.14886,39.96265,-75.16174,44
39.95424,-75.16138,39.94732,-75.15695,152
39.96718,-75.16125,39.95339,-75.15426,61
39.96442,-75.17999,39.96289,-75.16606,70
39.99179,-75.18637,39.95425,-75.17761,11
39.9538,-75.19479,39.95316,-75.16551,169
39.97121,-75.1597,39.93401,-75.15094,2
39.95866,-75.21323,39.96664,-75.19209,1
39.98203,-75.18866,39.94681,-75.19311,5
39.94822,-75.20908,39.94517,-75.15993,53
39.94061,-75.14958,39.95373,-75.21825,5
39.93549,-75.16711,39.95378,-75.16374,212
39.95005,-75.15672,39.93724,-75.1612,120
39.96442,-75.17999,39.9522,-75.20311,149
39.95472,-75.18323,39.95403,-75.14983,27
39.96046,-75.19701,39.98082,-75.14973,2
39.95403,-75.14983,39.95576,-75.18982,12
39.9538,-75.19479,39.99119,-75.17975,1
39.97274,-75.17939,39.95071,-75.14921,42
39.93704,-75.15038,39.93775,-75.18012,13
39.94681,-75.19311,39.94887,-75.18986,31
39.95197,-75.17943,39.97469,-75.19562,45
39.94138,-75.14564,39.9522,-75.20311,21
39.98004,-75.17088,39.96046,-75.19701,1
39.95197,-75.17943,39.96664,-75.19209,4
